Compound	DMSO only	DMSO+Cmpnd LFmax	TMZ only	TMZ+Cmpnd
Acetarsone	0.336	0.234	0.38	0.346
Vitamin B12	0.336	0.268	0.38	0.379
Amoxicillin Sodium	0.336	0.250	0.38	0.361
Daphnetin	0.336	0.250	0.38	0.360
(-)-Parthenolide	0.336	0.255	0.38	0.364
Sodium 4-aminohippurate Hydrate	0.336	0.239	0.38	0.347
Laetrile	0.336	0.271	0.38	0.378
Emodin	0.336	0.228	0.38	0.334
Furaltadone HCl	0.336	0.291	0.38	0.397
Metronidazole 	0.336	0.272	0.38	0.378
Amoxicillin	0.336	0.283	0.38	0.388
Novobiocin Sodium 	0.336	0.249	0.38	0.353
Taxifolin (Dihydroquercetin)	0.336	0.280	0.38	0.384
Sodium salicylate	0.336	0.265	0.38	0.369
Artemisinin	0.336	0.267	0.38	0.369
Shikimic Acid	0.336	0.281	0.38	0.382
Idoxuridine	0.336	0.215	0.38	0.316
Dirithromycin	0.336	0.246	0.38	0.347
Ornidazole	0.336	0.250	0.38	0.350
Trifluridine 	0.336	0.352	0.38	0.450
Alprostadil	0.336	0.232	0.38	0.330
Calcium Gluceptate 	0.336	0.213	0.38	0.310
Sinomenine	0.336	0.230	0.38	0.327
Diclazuril	0.336	0.193	0.38	0.290
Oxibendazole	0.336	0.681	0.38	0.777
Aspartame	0.336	0.260	0.38	0.356
Mecarbinate	0.336	0.300	0.38	0.396
Menadione	0.336	0.281	0.38	0.377
Penciclovir	0.336	0.247	0.38	0.343
Tolnaftate	0.336	0.242	0.38	0.337
Climbazole	0.336	0.234	0.38	0.329
Terbinafine 	0.336	0.298	0.38	0.392
Pasiniazid	0.336	0.240	0.38	0.334
Azomycin	0.336	0.205	0.38	0.299
Troxipide	0.336	0.282	0.38	0.376
Butenafine HCl	0.336	0.282	0.38	0.375
Mitotane 	0.336	0.256	0.38	0.348
Dimethyl Fumarate	0.336	0.297	0.38	0.389
Sulfaguanidine	0.336	0.215	0.38	0.307
Fenbendazole 	0.336	0.661	0.38	0.753
Curcumin	0.336	0.253	0.38	0.344
Sitafloxacin Hydrate	0.336	0.248	0.38	0.339
Formononetin	0.336	0.202	0.38	0.292
Mezlocillin Sodium	0.336	0.276	0.38	0.366
Divalproex Sodium	0.336	0.278	0.38	0.367
Nithiamide	0.336	0.253	0.38	0.342
Sulfamethizole 	0.336	0.273	0.38	0.361
Oridonin	0.336	0.291	0.38	0.378
Cinchophen	0.336	0.229	0.38	0.314
Closantel	0.336	0.247	0.38	0.333
Nifuroxazide	0.336	0.302	0.38	0.387
Palmatine chloride	0.336	0.291	0.38	0.375
Cefoperazone 	0.336	0.311	0.38	0.395
Azithromycin	0.336	0.308	0.38	0.391
Puerarin	0.336	0.289	0.38	0.370
Aloperine	0.336	0.260	0.38	0.341
Inosine	0.336	0.263	0.38	0.344
Amphotericin B 	0.336	0.309	0.38	0.389
Isoniazid	0.336	0.267	0.38	0.346
Chlorogenic Acid	0.336	0.274	0.38	0.354
Ipriflavone (Osteofix)	0.336	0.205	0.38	0.285
Alverine Citrate	0.336	0.268	0.38	0.346
Ethamsylate	0.336	0.269	0.38	0.347
Geniposide	0.336	0.289	0.38	0.368
Morin Hydrate	0.336	0.271	0.38	0.350
Tetraethylenepentamine 5HCl	0.336	0.242	0.38	0.320
Nobiletin	0.336	0.263	0.38	0.340
Nicotinamide (Vitamin B3)	0.336	0.305	0.38	0.382
Diosmin	0.336	0.270	0.38	0.347
Lithium Citrate	0.336	0.302	0.38	0.378
Terbinafine HCl 	0.336	0.274	0.38	0.349
Cephalomannine 	0.336	0.842	0.38	0.917
Sulfathiazole	0.336	0.288	0.38	0.363
Sulfamethoxazole	0.336	0.295	0.38	0.369
Chrysin	0.336	0.283	0.38	0.358
Lincomycin HCl 	0.336	0.250	0.38	0.323
Azacyclonol	0.336	0.264	0.38	0.338
Bilobalide	0.336	0.302	0.38	0.375
Liothyronine Sodium	0.336	0.287	0.38	0.360
Salinomycin	0.336	0.304	0.38	0.376
Stigmasterol	0.336	0.241	0.38	0.313
Curcumol	0.336	0.284	0.38	0.355
Gynostemma Extract	0.336	0.267	0.38	0.338
Vitamin D3 	0.336	0.190	0.38	0.260
Ribavirin 	0.336	0.291	0.38	0.360
Phthalylsulfacetamide	0.336	0.243	0.38	0.312
Amprolium HCl	0.336	0.281	0.38	0.350
Guanidine HCl	0.336	0.272	0.38	0.340
Lomefloxacin HCl 	0.336	0.248	0.38	0.317
Guanethidine Sulfate	0.336	0.227	0.38	0.295
Streptomycin sulfate	0.336	0.290	0.38	0.357
20-Hydroxyecdysone	0.336	0.302	0.38	0.367
5-hydroxytryptophan (5-HTP)	0.336	0.240	0.38	0.304
Piperine	0.336	0.272	0.38	0.336
7-Aminocephalosporanic acid	0.336	0.281	0.38	0.345
Guanosine	0.336	0.291	0.38	0.354
Methyclothiazide	0.336	0.254	0.38	0.317
Myricetin	0.336	0.298	0.38	0.359
Albendazole Oxide	0.336	0.335	0.38	0.394
Fenspiride HCl	0.336	0.259	0.38	0.319
Pentamidine	0.336	0.237	0.38	0.296
Isovaleramide	0.336	0.276	0.38	0.334
Mesna 	0.336	0.278	0.38	0.336
Streptozotocin (STZ)	0.336	0.291	0.38	0.349
Methyl-Hesperidin	0.336	0.283	0.38	0.341
Flubendazole	0.336	0.746	0.38	0.803
Natamycin 	0.336	0.288	0.38	0.344
Nalidixic acid 	0.336	0.290	0.38	0.346
Sulfamethazine	0.336	0.321	0.38	0.377
Tanshinone I	0.336	0.356	0.38	0.411
Ursolic Acid	0.336	0.244	0.38	0.299
Vidarabine 	0.336	0.269	0.38	0.324
Gramine	0.336	0.281	0.38	0.335
Naringin Dihydrochalcone	0.336	0.291	0.38	0.346
Rifabutin 	0.336	0.326	0.38	0.380
PA-824	0.336	0.336	0.38	0.389
Acetanilide	0.336	0.257	0.38	0.309
Ursodiol	0.336	0.406	0.38	0.458
Vitamin D2 	0.336	0.306	0.38	0.357
Chromocarb	0.336	0.259	0.38	0.309
3-Indolebutyric acid (IBA)	0.336	0.318	0.38	0.368
D-Mannitol	0.336	0.289	0.38	0.338
Salidroside	0.336	0.298	0.38	0.346
Lithocholic acid	0.336	0.265	0.38	0.312
Beta Carotene	0.336	0.308	0.38	0.356
Eprazinone 2HCl	0.336	0.281	0.38	0.327
Orotic acid (6-Carboxyuracil)	0.336	0.293	0.38	0.339
Potassium Iodide	0.336	0.296	0.38	0.341
Hyodeoxycholic acid (HDCA)	0.336	0.314	0.38	0.359
Sophocarpine	0.336	0.290	0.38	0.334
Indole-3-carbinol	0.336	0.280	0.38	0.324
Nadifloxacin 	0.336	0.294	0.38	0.337
Nystatin (Fungicidin)	0.336	0.258	0.38	0.301
Paeonol	0.336	0.300	0.38	0.342
L-Thyroxine	0.336	0.292	0.38	0.333
4-Methylumbelliferone (4-MU)	0.336	0.361	0.38	0.402
Cinchonidine	0.336	0.319	0.38	0.360
Benzoic Acid	0.336	0.279	0.38	0.321
Sulfisoxazole	0.336	0.324	0.38	0.365
Kaempferol	0.336	0.288	0.38	0.328
Phloretin	0.336	0.285	0.38	0.325
Silibinin	0.336	0.292	0.38	0.332
Chlormezanone 	0.336	0.394	0.38	0.433
Fenticonazole Nitrate	0.336	0.260	0.38	0.299
Bacitracin	0.336	0.329	0.38	0.368
Geniposidic acid	0.336	0.346	0.38	0.384
Gadodiamide 	0.336	0.322	0.38	0.360
Astragaloside A	0.336	0.291	0.38	0.328
Naringin	0.336	0.281	0.38	0.318
Sulfamethoxypyridazine	0.336	0.304	0.38	0.340
PMSF 	0.336	0.319	0.38	0.355
Primaquine Diphosphate	0.336	0.286	0.38	0.321
(+,-)-Octopamine HCl	0.336	0.360	0.38	0.396
Ampicillin Trihydrate	0.336	0.353	0.38	0.387
Sclareol	0.336	0.265	0.38	0.300
(6-)Aminocaproic acid	0.336	0.305	0.38	0.339
Tranilast	0.336	0.314	0.38	0.347
Dropropizine	0.336	0.299	0.38	0.331
Vanillin 	0.336	0.325	0.38	0.357
DL-Carnitine HCl	0.336	0.315	0.38	0.346
Kinetin	0.336	0.251	0.38	0.282
Arbidol HCl	0.336	0.321	0.38	0.351
Sarafloxacin HCl	0.336	0.297	0.38	0.326
L-Ascorbyl 6-palmitate	0.336	0.344	0.38	0.372
Sulfameter 	0.336	0.310	0.38	0.338
Praziquantel	0.336	0.300	0.38	0.328
Telbivudine 	0.336	0.358	0.38	0.386
Enoxolone	0.336	0.287	0.38	0.314
Chlorquinaldol	0.336	0.313	0.38	0.341
Sclareolide	0.336	0.300	0.38	0.327
Xanthone	0.336	0.336	0.38	0.362
Phlorizin	0.336	0.300	0.38	0.325
Ronidazole	0.336	0.299	0.38	0.324
Sulfapyridine 	0.336	0.326	0.38	0.351
Dimesna	0.336	0.299	0.38	0.324
Roxithromycin 	0.336	0.339	0.38	0.364
Phenazopyridine HCl	0.336	0.344	0.38	0.368
Dioscin	0.336	0.967	0.38	0.990
Guaifenesin 	0.336	0.314	0.38	0.336
Gossypol	0.336	0.198	0.38	0.219
Penicillin G Sodium	0.336	0.268	0.38	0.288
Topiramate	0.336	0.328	0.38	0.348
Methenamine 	0.336	0.325	0.38	0.346
Bimatoprost	0.336	0.301	0.38	0.322
Rifapentine 	0.336	0.313	0.38	0.331
Oxeladin Citrate	0.336	0.309	0.38	0.325
Lappaconite HBr	0.336	0.329	0.38	0.343
Enrofloxacin	0.336	0.306	0.38	0.316
Tanshinone IIA	0.336	0.146	0.38	0.155
Asiatic Acid	0.336	0.296	0.38	0.305
Prilocaine	0.336	0.357	0.38	0.366
Cinepazide maleate	0.336	0.340	0.38	0.348
Thalidomide	0.336	0.345	0.38	0.352
Cefdinir 	0.336	0.334	0.38	0.340
Sulbactam 	0.336	0.382	0.38	0.388
Triclabendazole	0.336	0.421	0.38	0.426
Levofloxacin	0.336	0.348	0.38	0.349
Elaiophylin	0.336	0.999	0.38	1.000
Zinc Pyrithione	0.336	1.000	0.38	1.000
Talc	0.336	0.294	0.38	0.294
Acetylcysteine	0.336	0.350	0.38	0.345
Spectinomycin HCl	0.336	0.365	0.38	0.355
Luliconazole	0.336	0.405	0.38	0.393
Honokiol	0.336	0.335	0.38	0.324
Adapalene	0.336	0.737	0.38	0.725
Sorbitol	0.336	0.334	0.38	0.321
Laquinimod	0.336	0.411	0.38	0.397
Balofloxacin	0.336	0.339	0.38	0.325
Calcitriol	0.336	0.223	0.38	0.208
Melatonin	0.336	0.352	0.38	0.336
Cefditoren Pivoxil	0.336	0.361	0.38	0.345
Genipin	0.336	0.415	0.38	0.398
Ethionamide	0.336	0.354	0.38	0.335
(-)-Tetramisole	0.336	0.390	0.38	0.371
BTZ043 Racemate	0.336	0.324	0.38	0.303
Daptomycin	0.336	0.414	0.38	0.391
Hordenine	0.336	0.334	0.38	0.311
Zonisamide	0.336	0.357	0.38	0.334
Tilmicosin	0.336	0.386	0.38	0.359
Cysteamine HCl	0.336	0.286	0.38	0.259
Vanillylacetone	0.336	0.329	0.38	0.299
Olsalazine Sodium	0.336	0.337	0.38	0.305
Alfacalcidol	0.336	0.230	0.38	0.198
Meropenem	0.336	0.382	0.38	0.348
Entecavir Hydrate	0.336	0.353	0.38	0.318
Hematoxylin	0.336	0.349	0.38	0.314
Caspofungin Acetate	0.336	0.385	0.38	0.350
Gatifloxacin	0.336	0.359	0.38	0.321
Nafcillin Sodium	0.336	0.366	0.38	0.327
Amorolfine HCl	0.336	0.349	0.38	0.309
Meglumine	0.336	0.404	0.38	0.361
Ivermectin	0.336	0.337	0.38	0.292
Malotilate	0.336	0.379	0.38	0.332
Flucytosine	0.336	0.444	0.38	0.395
Ammonium Glycyrrhizinate	0.336	0.365	0.38	0.314
Foscarnet Sodium	0.336	0.450	0.38	0.392
(+)-Matrine	0.336	0.383	0.38	0.318
Hesperidin	0.336	0.401	0.38	0.335
Diosmetin	0.336	0.334	0.38	0.266
STF-62247	0.336	0.231	0.38	0.160
Doxercalciferol	0.336	0.295	0.38	0.220
Cefoselis Sulfate	0.336	0.382	0.38	0.303
Calcifediol	0.336	0.293	0.38	0.212
Doripenem Hydrate	0.336	0.375	0.38	0.278
Rifampin	0.336	0.378	0.38	0.275
Beta-Lapachone	0.336	0.286	0.38	0.124
Crystal Violet	0.336	0.565	0.38	0.388
2-Methoxyestradiol (2-MeOE2)	0.336	0.724	0.38	0.336
Cepharanthine	0.336	0.180	0.38	0.474
Paeoniflorin	0.336	0.155	0.38	0.477
Tasisulam	0.336	0.136	0.38	0.456
Oxfendazole	0.336	0.115	0.38	0.470
Ethacridine lactate monohydrate	0.336	0.117	0.38	0.397
Erdosteine	0.336	0.178	0.38	0.345
Bromhexine HCl	0.336	0.344	0.38	0.365
Suvorexant (MK-4305)	0.336	0.271	0.38	0.335
SB408124	0.336	0.287	0.38	0.291
MRS 2578	0.336	0.263	0.38	0.371
Ticlopidine HCl	0.336	0.241	0.38	0.347
Clopidogrel	0.336	0.309	0.38	0.355
Prasugrel	0.336	0.348	0.38	0.347
Ticagrelor	0.336	0.160	0.38	0.480
LY2228820	0.336	0.162	0.38	0.375
Skepinone-L	0.336	0.149	0.38	0.355
PH-797804	0.336	0.176	0.38	0.371
VX-702	0.336	0.247	0.38	0.368
SB202190 (FHPI)	0.336	0.298	0.38	0.391
VX-745	0.336	0.286	0.38	0.343
BIRB 796 (Doramapimod)	0.336	0.284	0.38	0.335
TAK-715	0.336	0.320	0.38	0.369
SB203580	0.336	0.405	0.38	0.384
NSC 319726	0.336	0.239	0.38	0.494
Pifithrin-mu	0.336	0.210	0.38	0.416
Pifithrin-alpha	0.336	0.214	0.38	0.412
NMS-873	0.336	0.357	0.38	0.889
DBeQ	0.336	0.087	0.38	0.362
MNS (3,4-Methylenedioxy-beta-nitrostyrene, MDBN)	0.336	0.212	0.38	0.350
Ginkgolide B	0.336	0.323	0.38	0.363
IPA-3	0.336	0.198	0.38	0.391
AZD2461	0.336	0.223	0.38	0.728
Veliparib (ABT-888)	0.336	0.319	0.38	0.741
Olaparib (AZD2281, Ku-0059436)	0.336	0.297	0.38	0.701
PJ34	0.336	0.186	0.38	0.516
UPF 1069	0.336	0.326	0.38	0.362
Iniparib (BSI-201)	0.336	0.336	0.38	0.364
INO-1001	0.336	0.338	0.38	0.330
Rucaparib (AG-014699,PF-01367338)	0.336	0.374	0.38	0.665
AG-14361	0.336	0.375	0.38	0.680
Apremilast (CC-10004)	0.336	0.156	0.38	0.379
Milrinone	0.336	0.205	0.38	0.425
Anagrelide HCl	0.336	0.201	0.38	0.378
GSK256066	0.336	0.279	0.38	0.423
Luteolin	0.336	0.237	0.38	0.372
Roflumilast 	0.336	0.279	0.38	0.412
Dipyridamole	0.336	0.278	0.38	0.407
Avanafil	0.336	0.256	0.38	0.377
Icariin	0.336	0.232	0.38	0.348
Aminophylline	0.336	0.221	0.38	0.325
Vardenafil HCl Trihydrate	0.336	0.236	0.38	0.336
Pimobendan	0.336	0.294	0.38	0.370
Cilomilast	0.336	0.295	0.38	0.362
Sildenafil Citrate	0.336	0.303	0.38	0.366
Tadalafil	0.336	0.317	0.38	0.376
Rolipram	0.336	0.306	0.38	0.352
Cilostazol	0.336	0.259	0.38	0.288
S-(+)-Rolipram	0.336	0.333	0.38	0.312
Doxofylline	0.336	0.419	0.38	0.318
CPI-613	0.336	0.216	0.38	0.379
BX-912	0.336	0.326	0.38	0.545
OSU-03012 (AR-12)	0.336	0.321	0.38	0.507
BX-795	0.336	0.825	0.38	0.911
PHT-427	0.336	0.287	0.38	0.363
Pranoprofen	0.336	0.403	0.38	0.451
Tariquidar	0.336	0.175	0.38	0.410
Zosuquidar (LY335979) 3HCl	0.336	0.262	0.38	0.452
IOX2	0.336	0.335	0.38	0.379
FG-4592	0.336	0.402	0.38	0.355
ZSTK474	0.336	0.270	0.38	0.677
BYL719	0.336	0.248	0.38	0.607
CH5132799	0.336	0.153	0.38	0.454
GDC-0941	0.336	0.132	0.38	0.376
A66	0.336	0.187	0.38	0.416
IPI-145 (INK1197)	0.336	0.298	0.38	0.505
CAL-101 (Idelalisib, GS-1101)	0.336	0.271	0.38	0.467
AS-604850	0.336	0.217	0.38	0.399
CAY10505	0.336	0.207	0.38	0.351
TG100713	0.336	0.208	0.38	0.351
TGX-221	0.336	0.298	0.38	0.431
AZD6482	0.336	0.327	0.38	0.433
CZC24832	0.336	0.270	0.38	0.369
PIK-294	0.336	0.362	0.38	0.436
XL147	0.336	0.331	0.38	0.387
AS-252424	0.336	0.346	0.38	0.366
LY294002	0.336	0.295	0.38	0.310
BKM120 (NVP-BKM120, Buparlisib)	0.336	0.814	0.38	0.813
PIK-293	0.336	0.349	0.38	0.345
GSK2636771	0.336	0.377	0.38	0.360
TG100-115	0.336	0.425	0.38	0.322
3-Methyladenine	0.336	0.424	0.38	0.310
GSK1059615	0.336	0.228	0.38	0.688
PI-103	0.336	0.159	0.38	0.398
PF-05212384 (PKI-587)	0.336	0.672	0.38	0.763
GSK2126458 (GSK458)	0.336	0.875	0.38	0.928
PF-04691502	0.336	0.953	0.38	0.991
GDC-0980 (RG7422)	0.336	0.317	0.38	0.352
SAR245409 (XL765)	0.336	0.376	0.38	0.384
BGT226 (NVP-BGT226)	0.336	1.000	0.38	1.000
BEZ235 (NVP-BEZ235, Dactolisib)	0.336	0.142	0.38	0.455
Wortmannin	0.336	0.303	0.38	0.467
PIK-93	0.336	0.310	0.38	0.633
YM201636	0.336	0.095	0.38	0.279
SGI-1776 free base	0.336	0.245	0.38	0.991
SMI-4a	0.336	0.330	0.38	0.323
H 89 2HCl	0.336	0.177	0.38	0.376
Go 6983	0.336	0.351	0.38	0.637
Sotrastaurin	0.336	0.205	0.38	0.348
Quercetin	0.336	0.140	0.38	0.402
Quercetin Dihydrate	0.336	0.236	0.38	0.394
Varespladib (LY315920)	0.336	0.403	0.38	0.334
Tranexamic Acid 	0.336	0.262	0.38	0.378
BI 2536	0.336	0.741	0.38	0.910
Rigosertib (ON-01910)	0.336	0.710	0.38	0.865
GSK461364	0.336	0.665	0.38	0.765
HMN-214	0.336	0.803	0.38	0.817
Volasertib (BI 6727)	0.336	0.724	0.38	0.717
IWP-L6	0.336	0.378	0.38	0.886
LGK-974	0.336	0.084	0.38	0.292
Wnt-C59 (C59)	0.336	0.169	0.38	0.277
Tolbutamide	0.336	0.261	0.38	0.575
Glyburide	0.336	0.247	0.38	0.425
Nateglinide	0.336	0.168	0.38	0.342
Gliclazide 	0.336	0.264	0.38	0.405
Gliquidone	0.336	0.263	0.38	0.370
Zoxazolamine	0.336	0.261	0.38	0.338
Nicorandil	0.336	0.235	0.38	0.310
Amiodarone HCl	0.336	0.240	0.38	0.304
Hydralazine HCl	0.336	0.266	0.38	0.321
ML133 HCl	0.336	0.323	0.38	0.378
Dofetilide 	0.336	0.338	0.38	0.376
Glipizide 	0.336	0.310	0.38	0.344
Methocarbamol 	0.336	0.350	0.38	0.376
TAK-438	0.336	0.399	0.38	0.401
Chlorpropamide	0.336	0.354	0.38	0.349
Repaglinide	0.336	0.405	0.38	0.361
Flupirtine maleate	0.336	0.460	0.38	0.335
Chlorpromazine HCl	0.336	0.246	0.38	0.343
Dronedarone HCl	0.336	0.294	0.38	0.342
Salubrinal	0.336	0.147	0.38	0.508
WY-14643 (Pirinixic Acid)	0.336	0.193	0.38	0.391
GSK3787	0.336	0.251	0.38	0.421
Clofibric Acid	0.336	0.207	0.38	0.371
Pioglitazone 	0.336	0.143	0.38	0.299
Ciprofibrate	0.336	0.206	0.38	0.346
GW0742	0.336	0.225	0.38	0.357
Daidzein	0.336	0.255	0.38	0.375
Bezafibrate	0.336	0.240	0.38	0.350
T0070907	0.336	0.250	0.38	0.343
Pioglitazone HCl	0.336	0.227	0.38	0.319
Etofibrate	0.336	0.267	0.38	0.355
Fenofibrate 	0.336	0.251	0.38	0.337
Gemfibrozil 	0.336	0.310	0.38	0.370
GW9662	0.336	0.270	0.38	0.329
Rosiglitazone 	0.336	0.276	0.38	0.297
UK 383367	0.336	0.174	0.38	0.328
ML161	0.336	0.285	0.38	0.386
Epoxomicin	0.336	0.194	0.38	0.321
ONX-0914 (PR-957)	0.336	0.993	0.38	1.000
MLN9708	0.336	0.992	0.38	0.999
CEP-18770 (Delanzomib)	0.336	0.992	0.38	0.998
Carfilzomib (PR-171)	0.336	0.995	0.38	0.998
Bortezomib (PS-341)	0.336	0.995	0.38	0.997
MG-132	0.336	0.996	0.38	0.998
Oprozomib (ONX 0912)	0.336	0.998	0.38	1.000
MLN2238	0.336	0.999	0.38	1.000
Fenoprofen Calcium	0.336	0.353	0.38	0.329
RI-1	0.336	0.195	0.38	0.364
TAK-632	0.336	0.412	0.38	0.716
AZ 628	0.336	0.223	0.38	0.465
PF-04880594	0.336	0.189	0.38	0.397
SB590885	0.336	0.178	0.38	0.358
Dabrafenib (GSK2118436)	0.336	0.265	0.38	0.405
Vemurafenib (PLX4032, RG7204)	0.336	0.269	0.38	0.402
PLX-4720	0.336	0.418	0.38	0.513
ZM 336372	0.336	0.388	0.38	0.473
GW5074	0.336	0.344	0.38	0.379
GDC-0879	0.336	0.588	0.38	0.369
RAF265 (CHIR-265)	0.336	0.131	0.38	0.295
Sorafenib Tosylate	0.336	0.303	0.38	0.322
Sorafenib	0.336	0.314	0.38	0.394
Aliskiren Hemifumarate	0.336	0.306	0.38	0.356
TTNPB (Arotinoid Acid)	0.336	0.383	0.38	0.570
Dapivirine (TMC120)	0.336	0.309	0.38	0.687
Nevirapine 	0.336	0.101	0.38	0.328
Rilpivirine	0.336	0.344	0.38	0.559
Stavudine (d4T)	0.336	0.298	0.38	0.429
Zalcitabine	0.336	0.181	0.38	0.306
Didanosine	0.336	0.243	0.38	0.366
Adefovir Dipivoxil 	0.336	0.280	0.38	0.401
Zidovudine 	0.336	0.281	0.38	0.374
Lamivudine 	0.336	0.256	0.38	0.339
Tenofovir 	0.336	0.308	0.38	0.390
Emtricitabine 	0.336	0.295	0.38	0.321
Tenofovir Disoproxil Fumarate	0.336	0.340	0.38	0.349
Etravirine (TMC125)	0.336	0.061	0.38	0.353
CCG 50014	0.336	0.170	0.38	0.376
Necrostatin-1	0.336	0.355	0.38	0.562
Thiazovivin	0.336	0.255	0.38	0.403
GSK429286A	0.336	0.314	0.38	0.425
RKI-1447	0.336	0.259	0.38	0.318
Y-27632 2HCl	0.336	0.391	0.38	0.355
Fasudil (HA-1077) HCl	0.336	0.350	0.38	0.338
NXY-059 	0.336	0.162	0.38	0.307
Sodium 4-Aminosalicylate	0.336	0.224	0.38	0.349
(-)-Epigallocatechin Gallate	0.336	0.253	0.38	0.378
Tenoxicam	0.336	0.286	0.38	0.373
EUK 134	0.336	0.347	0.38	0.432
Idebenone	0.336	0.242	0.38	0.327
Dihydromyricetin	0.336	0.264	0.38	0.339
Ferrostatin-1 (Fer-1)	0.336	0.298	0.38	0.350
Mesalamine	0.336	0.324	0.38	0.373
Naringenin	0.336	0.291	0.38	0.312
Neohesperidin	0.336	0.318	0.38	0.337
Nicaraven	0.336	0.315	0.38	0.320
Caffeic Acid	0.336	0.325	0.38	0.326
Probucol	0.336	0.341	0.38	0.342
Tempol	0.336	0.391	0.38	0.384
Edaravone	0.336	0.384	0.38	0.357
Caffeic Acid Phenethyl Ester	0.336	0.390	0.38	0.472
BI-D1870	0.336	0.360	0.38	0.388
LDK378	0.336	0.142	0.38	0.882
Alectinib (CH5424802)	0.336	0.121	0.38	0.334
AP26113	0.336	0.276	0.38	0.417
GSK1838705A	0.336	0.153	0.38	0.426
AZD3463	0.336	0.754	0.38	0.974
Dovitinib (TKI-258, CHIR-258)	0.336	0.167	0.38	0.882
Cediranib (AZD2171)	0.336	0.368	0.38	0.927
BMS-777607	0.336	0.366	0.38	0.452
Pazopanib	0.336	0.181	0.38	0.793
AZD4547	0.336	0.191	0.38	0.810
Dacomitinib (PF299804, PF299)	0.336	0.111	0.38	0.647
GW2580	0.336	0.223	0.38	0.426
Linifanib (ABT-869)	0.336	0.375	0.38	0.570
CUDC-101	0.336	0.614	0.38	0.999
Cabozantinib (XL184, BMS-907351)	0.336	0.386	0.38	0.791
Quizartinib (AC220)	0.336	0.191	0.38	0.694
Icotinib	0.336	0.259	0.38	0.485
AST-1306	0.336	0.213	0.38	0.427
WHI-P154	0.336	0.246	0.38	0.459
TAK-285	0.336	0.271	0.38	0.476
AG-1478 (Tyrphostin AG-1478)	0.336	0.228	0.38	0.418
Afatinib (BIBW2992)	0.336	0.355	0.38	0.527
AC480 (BMS-599626)	0.336	0.255	0.38	0.421
WZ8040	0.336	0.188	0.38	0.350
Pelitinib (EKB-569)	0.336	0.227	0.38	0.381
Neratinib (HKI-272)	0.336	0.288	0.38	0.428
CP-724714	0.336	0.213	0.38	0.343
AZD8931 (Sapitinib)	0.336	0.319	0.38	0.443
HER2-Inhibitor-1	0.336	0.316	0.38	0.440
PD168393	0.336	0.336	0.38	0.453
Tyrphostin AG 879	0.336	0.229	0.38	0.329
Lapatinib (GW-572016) Ditosylate	0.336	0.287	0.38	0.387
Erlotinib HCl (OSI-744)	0.336	0.271	0.38	0.367
Mubritinib (TAK 165)	0.336	0.192	0.38	0.283
WZ4002	0.336	0.278	0.38	0.369
Varlitinib	0.336	0.354	0.38	0.430
Canertinib (CI-1033)	0.336	0.347	0.38	0.420
AG-490 (Tyrphostin B42)	0.336	0.357	0.38	0.429
Gefitinib (ZD1839)	0.336	0.324	0.38	0.391
AG-18	0.336	0.338	0.38	0.402
Genistein	0.336	0.331	0.38	0.387
OSI-420	0.336	0.263	0.38	0.303
Tyrphostin 9 	0.336	0.076	0.38	0.114
CO-1686 (AVL-301)	0.336	0.421	0.38	0.436
Tivozanib (AV-951)	0.336	0.237	0.38	0.734
AEE788 (NVP-AEE788)	0.336	0.154	0.38	0.698
BGJ398 (NVP-BGJ398)	0.336	0.097	0.38	0.252
SSR128129E	0.336	0.285	0.38	0.336
PD173074	0.336	0.087	0.38	0.345
TCS 359	0.336	0.227	0.38	0.355
KW-2449	0.336	0.472	0.38	0.745
Lenvatinib (E7080)	0.336	0.251	0.38	0.713
ENMD-2076	0.336	0.877	0.38	0.994
Amuvatinib (MP-470)	0.336	0.110	0.38	0.638
WZ3146	0.336	0.249	0.38	0.627
Dovitinib (TKI-258) Dilactic Acid  	0.336	0.340	0.38	0.854
MK-2461	0.336	0.157	0.38	0.643
TAE684 (NVP-TAE684)	0.336	0.346	0.38	0.654
NVP-ADW742	0.336	0.219	0.38	0.357
AG-1024 	0.336	0.232	0.38	0.303
NVP-AEW541	0.336	0.210	0.38	0.451
GSK1904529A	0.336	0.228	0.38	0.393
OSI-906 (Linsitinib)	0.336	0.237	0.38	0.396
BMS-754807	0.336	0.693	0.38	0.864
Golvatinib (E7050)	0.336	0.100	0.38	0.515
OSI-930	0.336	0.399	0.38	0.561
CEP-32496	0.336	0.368	0.38	0.549
Masitinib (AB1010)	0.336	0.303	0.38	0.562
Tandutinib (MLN518)	0.336	0.321	0.38	0.581
INCB28060	0.336	0.192	0.38	0.420
AMG-458	0.336	0.269	0.38	0.484
NVP-BVU972	0.336	0.318	0.38	0.411
SGX-523	0.336	0.394	0.38	0.479
PF-04217903	0.336	0.331	0.38	0.415
JNJ-38877605	0.336	0.342	0.38	0.406
Crizotinib (PF-02341066)	0.336	0.575	0.38	0.592
Foretinib (GSK1363089)	0.336	0.820	0.38	0.986
BMS-794833	0.336	0.310	0.38	0.502
MGCD-265	0.336	0.220	0.38	0.381
Vatalanib (PTK787) 2HCl	0.336	0.273	0.38	0.607
PQ 401	0.336	0.186	0.38	0.530
CP-673451	0.336	0.530	0.38	0.783
PP121	0.336	0.814	0.38	0.969
Tyrphostin AG 1296	0.336	0.190	0.38	0.419
